Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
2,5,0.44,1.013,0.46,0.151,1.51,0.715,0.497,1.246,0.517,0.157,1.982,0.894
2,6,0.54,1.153,0.36,0.111,1.47,0.727,0.615,1.425,0.399,0.114,1.919,0.904
20,1,0.64,0.411,0.5,0.12,1.13,0.56,0.729,0.454,0.552,0.125,1.39,0.664
20,2,0.58,0.591,0.4,0.0,1.09,0.532,0.651,0.665,0.433,0.0,1.335,0.646
20,3,0.6,0.551,0.46,0.06,0.77,0.488,0.678,0.628,0.504,0.064,0.931,0.592
20,4,0.58,0.647,0.44,0.18,0.69,0.507,0.651,0.741,0.482,0.201,0.811,0.583
20,5,0.56,0.607,0.5,0.18,0.63,0.495,0.626,0.689,0.556,0.201,0.747,0.577
20,6,0.68,0.647,0.5,0.2,0.63,0.531,0.78,0.741,0.556,0.24,0.741,0.624
21,1,0.76,0.993,0.325,1.138,1.145,0.872,0.921,1.217,0.36,1.453,1.422,0.994
21,2,0.62,0.913,0.215,0.838,1.125,0.742,0.709,1.117,0.226,1.024,1.392,0.863
21,3,0.6,0.973,0.135,0.618,1.305,0.726,0.694,1.178,0.139,0.708,1.647,0.85
21,4,0.6,0.893,0.215,0.698,1.145,0.71,0.694,1.089,0.226,0.833,1.48,0.846
21,5,0.6,0.913,0.175,0.718,1.245,0.73,0.694,1.117,0.183,0.858,1.604,0.862
21,6,0.78,0.953,0.155,0.658,1.305,0.77,0.906,1.159,0.162,0.795,1.702,0.898
22,1,0.72,0.227,1.265,0.871,0.32,0.681,0.845,0.243,1.586,1.05,0.347,0.818
22,2,0.66,0.296,1.265,0.731,0.38,0.667,0.76,0.318,1.587,0.87,0.411,0.774
22,3,0.66,0.358,1.245,0.651,0.34,0.651,0.76,0.387,1.556,0.764,0.365,0.759
22,4,0.66,0.338,1.285,0.691,0.26,0.647,0.76,0.365,1.616,0.82,0.274,0.774
22,5,0.66,0.307,1.285,0.651,0.36,0.653,0.76,0.331,1.616,0.761,0.392,0.771
22,6,0.66,0.307,1.265,0.691,0.48,0.681,0.76,0.334,1.585,0.811,0.56,0.793
23,1,0.6,0.307,0.91,0.353,0.335,0.501,0.675,0.336,1.077,0.381,0.366,0.566
23,2,0.72,0.396,0.95,0.433,0.305,0.561,0.827,0.45,1.132,0.491,0.335,0.647
23,3,0.6,0.416,0.91,0.433,0.195,0.511,0.675,0.465,1.077,0.474,0.204,0.581
23,4,0.78,0.196,0.97,0.513,0.385,0.569,0.902,0.203,1.159,0.574,0.447,0.66
23,5,0.62,0.196,0.95,0.453,0.365,0.517,0.701,0.203,1.132,0.498,0.425,0.607
23,6,0.64,0.356,0.91,0.493,0.345,0.549,0.728,0.4,1.077,0.552,0.404,0.635
24,1,1.3,0.409,0.29,1.129,0.91,0.808,1.64,0.482,0.312,1.481,1.102,0.963
24,2,1.3,0.526,0.43,1.069,0.87,0.839,1.639,0.629,0.474,1.39,1.057,0.963
24,3,1.32,0.586,0.45,1.249,0.99,0.919,1.67,0.696,0.498,1.628,1.219,1.034
24,4,1.18,0.526,0.27,1.093,0.95,0.804,1.471,0.619,0.288,1.423,1.161,0.942
24,5,1.22,0.606,0.29,1.133,0.93,0.836,1.524,0.717,0.311,1.486,1.133,0.966
24,6,1.2,0.526,0.31,1.129,0.93,0.819,1.502,0.61,0.331,1.475,1.133,0.954
25,1,0.28,0.306,0.155,1.353,0.82,0.583,0.298,0.335,0.164,1.851,0.975,0.8
25,2,0.34,0.249,0.065,0.953,1.02,0.526,0.366,0.267,0.066,1.231,1.243,0.71
25,3,0.34,0.166,0.055,0.913,1.04,0.503,0.366,0.178,0.056,1.184,1.273,0.708
25,4,0.36,0.164,0.075,0.813,1.08,0.499,0.39,0.174,0.076,1.063,1.33,0.708
25,5,0.34,0.184,0.055,0.873,1.1,0.511,0.366,0.196,0.056,1.134,1.36,0.723
25,6,0.42,0.244,0.075,0.833,1.1,0.535,0.458,0.263,0.076,1.088,1.36,0.734
26,1,1.6,0.773,1.235,1.036,0.755,1.08,2.163,0.925,1.569,1.267,0.908,1.164
26,2,1.78,0.662,1.335,0.874,0.575,1.045,2.448,0.773,1.719,1.048,0.666,1.15
26,3,1.46,0.633,1.075,0.974,0.695,0.968,1.909,0.736,1.312,1.193,0.818,1.045
26,4,1.5,0.553,1.115,0.954,0.655,0.956,1.969,0.633,1.376,1.167,0.771,1.05
26,5,1.86,0.802,1.615,1.134,0.665,1.215,2.709,1.043,2.228,1.499,0.77,1.328
26,6,1.7,0.642,1.455,0.934,0.735,1.093,2.324,0.758,1.903,1.144,0.856,1.189
27,1,1.02,0.467,0.715,0.74,1.595,0.907,1.232,0.532,0.818,0.863,2.131,1.019
27,2,1.06,0.571,0.735,0.88,1.655,0.98,1.288,0.642,0.844,1.04,2.203,1.056
27,3,1.08,0.447,0.875,0.94,1.335,0.935,1.314,0.496,1.04,1.12,1.771,1.027
27,4,1.12,0.491,0.715,0.92,1.415,0.932,1.372,0.549,0.828,1.094,1.899,1.026
