Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
19,6,0.6,1.184,1.695,1.078,1.525,1.216,0.699,1.478,2.315,1.317,2.063,1.325
2,1,0.22,0.853,0.6,0.162,1.39,0.645,0.235,1.033,0.697,0.169,1.796,0.827
2,2,0.46,0.853,0.52,0.273,1.41,0.703,0.542,1.033,0.582,0.296,1.855,0.859
2,3,0.46,1.073,0.32,0.169,1.69,0.742,0.542,1.321,0.359,0.177,2.265,0.968
2,4,0.32,0.933,0.66,0.133,1.03,0.615,0.347,1.117,0.762,0.137,1.29,0.743
2,5,0.52,1.113,0.46,0.113,1.45,0.731,0.608,1.389,0.519,0.116,1.932,0.922
2,6,0.3,1.213,0.38,0.209,1.55,0.73,0.324,1.523,0.432,0.222,2.037,0.936
20,1,0.96,0.651,0.88,0.14,0.99,0.724,1.155,0.758,1.045,0.147,1.226,0.827
20,2,1.2,0.471,1.1,0.22,0.93,0.784,1.523,0.529,1.376,0.235,1.144,0.899
20,3,1.08,0.391,0.8,0.08,0.49,0.568,1.35,0.436,0.955,0.083,0.589,0.707
20,4,1.0,0.751,0.78,0.12,0.85,0.7,1.223,0.891,0.92,0.125,1.045,0.833
20,5,0.92,0.471,0.8,0.2,0.77,0.632,1.1,0.539,0.967,0.211,0.948,0.778
20,6,1.26,0.631,0.7,0.24,0.95,0.756,1.611,0.735,0.833,0.257,1.158,0.864
21,1,0.32,0.802,0.505,0.244,1.445,0.663,0.343,0.957,0.594,0.277,1.872,0.839
21,2,0.3,0.862,0.605,0.202,1.445,0.683,0.324,1.031,0.716,0.217,1.87,0.851
21,3,0.38,0.822,0.575,0.382,1.315,0.695,0.414,0.983,0.673,0.413,1.685,0.822
21,4,0.42,0.862,0.445,0.333,1.095,0.631,0.457,1.041,0.512,0.361,1.403,0.762
21,5,0.38,0.762,0.275,0.333,1.375,0.625,0.417,0.893,0.292,0.358,1.786,0.77
21,6,0.32,0.902,0.355,0.302,1.155,0.607,0.35,1.077,0.406,0.326,1.457,0.742
22,1,0.5,0.124,1.025,0.358,0.0,0.401,0.56,0.13,1.261,0.405,0.0,0.579
22,2,0.52,0.236,1.385,0.302,0.28,0.545,0.587,0.249,1.781,0.353,0.313,0.747
22,3,0.42,0.204,0.925,0.262,0.48,0.458,0.473,0.218,1.138,0.297,0.574,0.583
22,4,0.62,0.164,1.045,0.218,0.32,0.473,0.705,0.171,1.279,0.235,0.391,0.632
22,5,0.7,0.436,1.285,0.562,0.48,0.693,0.801,0.501,1.633,0.748,0.544,0.843
22,6,0.42,0.418,1.185,0.218,0.36,0.52,0.47,0.464,1.477,0.235,0.49,0.704
23,1,0.5,0.396,0.97,0.66,0.585,0.622,0.553,0.441,1.196,0.765,0.688,0.712
23,2,0.54,0.436,0.89,0.48,0.615,0.592,0.603,0.492,1.059,0.573,0.724,0.693
23,3,0.44,0.516,0.85,0.807,0.755,0.674,0.48,0.579,0.996,0.952,0.924,0.744
23,4,0.34,0.416,0.63,0.627,0.815,0.566,0.374,0.458,0.718,0.728,1.042,0.673
23,5,0.38,0.416,0.77,0.727,0.715,0.602,0.417,0.46,0.915,0.855,0.944,0.732
23,6,0.42,0.347,0.85,0.767,0.755,0.628,0.464,0.382,1.036,0.892,0.995,0.751
24,1,1.2,0.516,0.41,0.598,0.89,0.723,1.555,0.628,0.483,0.756,1.09,0.847
24,2,0.94,0.426,0.31,0.422,1.03,0.626,1.128,0.465,0.335,0.472,1.28,0.736
24,3,1.16,0.171,0.49,0.298,0.99,0.622,1.46,0.185,0.558,0.321,1.208,0.766
24,4,0.96,0.351,0.61,0.358,0.79,0.614,1.258,0.381,0.727,0.388,0.978,0.771
24,5,0.92,0.289,0.31,0.327,0.97,0.563,1.117,0.312,0.335,0.357,1.194,0.702
