Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
28,2,0.2,1.333,0.5,1.889,0.125,0.809,0.208,1.689,0.55,2.602,0.128,1.063
28,3,0.2,1.333,0.5,1.889,0.125,0.809,0.208,1.689,0.55,2.602,0.128,1.063
28,4,0.2,1.333,0.5,1.889,0.125,0.809,0.208,1.689,0.55,2.602,0.128,1.063
28,5,0.2,1.333,0.5,1.889,0.125,0.809,0.208,1.689,0.55,2.602,0.128,1.063
28,6,0.2,1.333,0.5,1.889,0.125,0.809,0.208,1.689,0.55,2.602,0.128,1.063
29,1,0.2,1.111,0.0,1.556,0.0,0.573,0.208,1.358,0.0,2.04,0.0,0.86
29,2,0.2,1.111,0.0,1.556,0.0,0.573,0.208,1.358,0.0,2.04,0.0,0.86
29,3,0.2,1.111,0.0,1.556,0.0,0.573,0.208,1.358,0.0,2.04,0.0,0.86
29,4,0.2,1.111,0.0,1.556,0.0,0.573,0.208,1.358,0.0,2.04,0.0,0.86
29,5,0.2,1.111,0.0,1.556,0.0,0.573,0.208,1.358,0.0,2.04,0.0,0.86
29,6,0.2,1.111,0.0,1.556,0.0,0.573,0.208,1.358,0.0,2.04,0.0,0.86
3,1,0.6,1.222,0.5,1.667,0.125,0.823,0.672,1.521,0.55,2.222,0.128,0.99
3,2,0.6,1.222,0.5,1.667,0.125,0.823,0.672,1.521,0.55,2.222,0.128,0.99
3,3,0.6,1.222,0.5,1.667,0.125,0.823,0.672,1.521,0.55,2.222,0.128,0.99
3,4,0.6,1.222,0.5,1.667,0.125,0.823,0.672,1.521,0.55,2.222,0.128,0.99
3,5,0.6,1.222,0.5,1.667,0.125,0.823,0.672,1.521,0.55,2.222,0.128,0.99
3,6,0.6,1.222,0.5,1.667,0.125,0.823,0.672,1.521,0.55,2.222,0.128,0.99
30,1,0.6,1.0,0.0,1.111,0.625,0.667,0.672,1.2,0.0,1.358,0.703,0.773
30,2,0.6,1.0,0.0,1.111,0.625,0.667,0.672,1.2,0.0,1.358,0.703,0.773
30,3,0.6,1.0,0.0,1.111,0.625,0.667,0.672,1.2,0.0,1.358,0.703,0.773
30,4,0.6,1.0,0.0,1.111,0.625,0.667,0.672,1.2,0.0,1.358,0.703,0.773
30,5,0.6,1.0,0.0,1.111,0.625,0.667,0.672,1.2,0.0,1.358,0.703,0.773
30,6,0.6,1.0,0.0,1.111,0.625,0.667,0.672,1.2,0.0,1.358,0.703,0.773
31,1,1.5,1.778,0.625,2.0,0.75,1.331,1.95,2.41,0.703,2.8,0.862,1.44
31,2,1.5,1.778,0.625,2.0,0.75,1.331,1.95,2.41,0.703,2.8,0.862,1.44
31,3,1.5,1.778,0.625,2.0,0.75,1.331,1.95,2.41,0.703,2.8,0.862,1.44
31,4,1.5,1.778,0.625,2.0,0.75,1.331,1.95,2.41,0.703,2.8,0.862,1.44
31,5,1.5,1.778,0.625,2.0,0.75,1.331,1.95,2.41,0.703,2.8,0.862,1.44
31,6,1.3,1.678,0.575,1.7,0.89,1.229,1.67,2.249,0.643,2.35,1.064,1.339
32,1,0.3,0.889,0.25,1.444,0.25,0.627,0.318,1.047,0.263,1.862,0.263,0.786
32,2,0.3,0.889,0.25,1.444,0.25,0.627,0.318,1.047,0.263,1.862,0.263,0.786
32,3,0.3,0.889,0.25,1.444,0.25,0.627,0.318,1.047,0.263,1.862,0.263,0.786
